Date,Open,High,Low,Close,Adj Close,Volume
01-10-18,40.75,40.959999,39.880001,40.860001,40.860001,3624900
02-10-18,40.959999,41.860001,40.860001,41.560001,41.560001,4589900
03-10-18,44.700001,45.450001,42.509998,42.889999,42.889999,14417700
04-10-18,43.349998,43.73,42.529999,43.110001,43.110001,6420400
05-10-18,42.639999,42.650002,41.599998,42.060001,42.060001,4314200
08-10-18,41,41.009998,38.27,38.740002,38.740002,7466700
09-10-18,38.48,38.73,37.404999,37.639999,37.639999,5164800
10-10-18,37.310001,37.450001,35.970001,36.060001,36.060001,4374400
11-10-18,35.799999,36.220001,35.130001,35.669998,35.669998,3505400
12-10-18,36.389999,36.549999,35.59,35.669998,35.669998,2848500
15-10-18,35.470001,35.880001,35.310001,35.34,35.34,2439900
16-10-18,35.48,36.294998,35.299999,36.189999,36.189999,2686800
17-10-18,36.380001,36.709999,35.560001,36.700001,36.700001,7398600
18-10-18,38.610001,40.68,38.599998,38.849998,38.849998,13826700
19-10-18,38.900002,39.150002,37.900002,38.599998,38.599998,5014700
